CCTV,#genre#
tvbs,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
tvbs,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
tvbs,https://haoyunlai.serv00.net/Smartv-1.php?id=tvbs
三立新闻,http://108.181.20.197/livehttpplay?channel_id=10126
三立新闻,https://epg.pw/stream/bad9a4ebaf24f0b19d4edd02bef68b5dd5b463eb5527e4b44bb68e23248c6ddb.m3u8
三立新闻,https://epg.pw/stream/a5fc038f36087bfc6bb222c8082ca6e8fef103ce6b06a9f97613809d19895325.ctv
三立新闻,https://stream1.freetv.fun/e12a5ecb3e0328b72c684ffe48cb7382b9b3e283c0c99492612b5af06b539153.ctv
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
华视新闻,http://108.181.20.197/livehttpplay?channel_id=20086
澳门莲花,http://php.jdshipin.com:8880/amlh.php
其他,#genre#
discovery,https://stream1.freetv.fun/8a09cb4348d13b0b7681f6171694b41ba784478137afe917bfb5502b8c159f00.ctv
discovery,https://stream1.freetv.fun/035902f8b3b563e0b5a7cd2ef2ade48b6c805f0d378d4265059b9948e469c036.ctv
discovery,https://stream1.freetv.fun/e76004653735ef3e5bc731d698978ed3b23154e2e09c12f0a5519d059599e859.ctv
discovery,https://reflect-falmouth.cablecast.tv/live-19/live/live.m3u8
discovery,https://haoyunlai.serv00.net/Smartv-1.php?id=discoverych_twn
轮播,http://epg.112114.xyz/douyu/36337
轮播,http://epg.112114.xyz/douyu/263824
轮播,http://epg.112114.xyz/douyu/8770422
轮播,http://epg.112114.xyz/douyu/1165374
轮播,http://epg.112114.xyz/douyu/7050342
